"subjects","betas","laterality","stimulus_type","superior_inferior"
1,68.8650949333559,"Left","Neutral","Superior Colliculi"
2,-44.1992650591559,"Left","Neutral","Superior Colliculi"
3,82.2453804714207,"Left","Neutral","Superior Colliculi"
4,297.008306218294,"Left","Neutral","Superior Colliculi"
5,51.8696154597675,"Left","Neutral","Superior Colliculi"
6,61.8743840044137,"Left","Neutral","Superior Colliculi"
7,-52.8022074643321,"Left","Neutral","Superior Colliculi"
8,-69.2898820581081,"Left","Neutral","Superior Colliculi"
9,-40.6533398393722,"Left","Neutral","Superior Colliculi"
10,-172.410678195427,"Left","Neutral","Superior Colliculi"
11,106.494205691219,"Left","Neutral","Superior Colliculi"
1,204.363394208243,"Left","Aversive","Superior Colliculi"
2,-150.662082628387,"Left","Aversive","Superior Colliculi"
3,233.053936876654,"Left","Aversive","Superior Colliculi"
4,-43.7829259291189,"Left","Aversive","Superior Colliculi"
5,304.548119576353,"Left","Aversive","Superior Colliculi"
6,146.100004669095,"Left","Aversive","Superior Colliculi"
7,133.901174538711,"Left","Aversive","Superior Colliculi"
8,193.90819624784,"Left","Aversive","Superior Colliculi"
9,214.574494113448,"Left","Aversive","Superior Colliculi"
10,110.664478316887,"Left","Aversive","Superior Colliculi"
11,149.806779829406,"Left","Aversive","Superior Colliculi"
1,9.83904165764871,"Left","Neutral","Inferior Colliculi"
2,-108.282872947988,"Left","Neutral","Inferior Colliculi"
3,65.3878361038394,"Left","Neutral","Inferior Colliculi"
4,-136.002963503211,"Left","Neutral","Inferior Colliculi"
5,-37.53857250369,"Left","Neutral","Inferior Colliculi"
6,-269.003746917297,"Left","Neutral","Inferior Colliculi"
7,-104.986127758649,"Left","Neutral","Inferior Colliculi"
8,-34.7488661837588,"Left","Neutral","Inferior Colliculi"
9,-203.440384513121,"Left","Neutral","Inferior Colliculi"
10,-137.263897874252,"Left","Neutral","Inferior Colliculi"
11,67.1396508716391,"Left","Neutral","Inferior Colliculi"
1,-20.0988657763726,"Left","Aversive","Inferior Colliculi"
2,-134.427252218104,"Left","Aversive","Inferior Colliculi"
3,143.260658671377,"Left","Aversive","Inferior Colliculi"
4,13.4133214830421,"Left","Aversive","Inferior Colliculi"
5,34.5137534095354,"Left","Aversive","Inferior Colliculi"
6,-13.6354897956394,"Left","Aversive","Inferior Colliculi"
7,-121.668773029871,"Left","Aversive","Inferior Colliculi"
8,-163.369410664784,"Left","Aversive","Inferior Colliculi"
9,-43.787305649581,"Left","Aversive","Inferior Colliculi"
10,27.2962065651634,"Left","Aversive","Inferior Colliculi"
11,-65.7711786668635,"Left","Aversive","Inferior Colliculi"
1,179.871979063843,"Right","Neutral","Superior Colliculi"
2,-52.6293765854374,"Right","Neutral","Superior Colliculi"
3,72.7814928356942,"Right","Neutral","Superior Colliculi"
4,77.2760736174288,"Right","Neutral","Superior Colliculi"
5,17.996006683337,"Right","Neutral","Superior Colliculi"
6,96.7477876033183,"Right","Neutral","Superior Colliculi"
7,63.5029560311789,"Right","Neutral","Superior Colliculi"
8,68.3780893419672,"Right","Neutral","Superior Colliculi"
9,-55.1939426112368,"Right","Neutral","Superior Colliculi"
10,-71.4421681725026,"Right","Neutral","Superior Colliculi"
11,194.544598235811,"Right","Neutral","Superior Colliculi"
1,194.004139783357,"Right","Aversive","Superior Colliculi"
2,-63.8358082489372,"Right","Aversive","Superior Colliculi"
3,55.0426038360692,"Right","Aversive","Superior Colliculi"
4,-61.7868542162789,"Right","Aversive","Superior Colliculi"
5,203.152803970383,"Right","Aversive","Superior Colliculi"
6,207.296550374563,"Right","Aversive","Superior Colliculi"
7,141.792132187079,"Right","Aversive","Superior Colliculi"
8,407.633326143678,"Right","Aversive","Superior Colliculi"
9,114.484437987572,"Right","Aversive","Superior Colliculi"
10,195.506595800373,"Right","Aversive","Superior Colliculi"
11,213.478520055314,"Right","Aversive","Superior Colliculi"
1,162.802411688807,"Right","Neutral","Inferior Colliculi"
2,86.693714357029,"Right","Neutral","Inferior Colliculi"
3,103.487704709557,"Right","Neutral","Inferior Colliculi"
4,-99.1618540581544,"Right","Neutral","Inferior Colliculi"
5,-163.025460761391,"Right","Neutral","Inferior Colliculi"
6,-187.009958503815,"Right","Neutral","Inferior Colliculi"
7,14.3485403728532,"Right","Neutral","Inferior Colliculi"
8,58.6580473076591,"Right","Neutral","Inferior Colliculi"
9,17.2462501089515,"Right","Neutral","Inferior Colliculi"
10,-344.898794622569,"Right","Neutral","Inferior Colliculi"
11,161.701183145543,"Right","Neutral","Inferior Colliculi"
1,85.2203402972035,"Right","Aversive","Inferior Colliculi"
2,128.801964466448,"Right","Aversive","Inferior Colliculi"
3,149.495867064743,"Right","Aversive","Inferior Colliculi"
4,102.942031834063,"Right","Aversive","Inferior Colliculi"
5,-17.6065199069062,"Right","Aversive","Inferior Colliculi"
6,-136.86427436632,"Right","Aversive","Inferior Colliculi"
7,-56.5000523534118,"Right","Aversive","Inferior Colliculi"
8,-210.232843889185,"Right","Aversive","Inferior Colliculi"
9,82.8504528329994,"Right","Aversive","Inferior Colliculi"
10,186.560665056948,"Right","Aversive","Inferior Colliculi"
11,49.7071403447175,"Right","Aversive","Inferior Colliculi"
